Event_ID,Event_Name,Parent_Event_ID,Event_Type,Probability_Type,Probability_Value,Distribution_Type,Min,Max,Mean,Median,Mode,StdDev,Lambda,Alpha,Beta,Shape,Scale,Fixed_Value,Consequence_Type,Consequence_Distribution,Consequence_Min,Consequence_Max,Consequence_Mean,Consequence_StdDev,Dependency_Type,Dependency_Condition,Correlation_Group,Notes
N0011,Outcome and After-Action phase begins,N0001,Phase,fixed,0.6950,fixed,,,,,,,,,,,,0.6950,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P10,"Final consequence, interdiction, lessons, and recovery"
N0012,"Intent Formation: node 01 - Record observable behavior and maintain neutral, non-discriminatory criteria",N0002,Control,uniform,,uniform,0.7270,0.9270,0.8270,,5,,,,,,,,Workforce,triangular,0,23,5,,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Record observable behavior and maintain neutral, non-discriminatory criteria. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0013,Intent Formation: node 02 - workflow interruption that could create screening distraction,N0002,Observation,beta,,beta,,,0.7783,,,,,25.682,7.318,,,,Passenger Experience,normal,,,7,1.3,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0014,Intent Formation: node 03 - high workload condition increasing need for supervisor oversight,N0002,Detection,fixed,0.7728,fixed,,,,,,,,,,0.35,7,0.7728,Security,lognormal,,,9,2.2,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: high workload condition increasing need for supervisor oversight. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0015,Intent Formation: node 04 - Maintain passenger flow while resolving the event safely,N0002,Escalation,normal,,normal,,,0.7522,,,0.0903,,,,,,11,Operational,fixed,,,11,,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Maintain passenger flow while resolving the event safely. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0016,Intent Formation: node 05 - Supervisor documents training or procedure improvement,N0002,Outcome,poisson,,poisson,,,2.2795,,,,2.2795,,,,,,Reputational,uniform,8,25,16.5,4.9,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Supervisor documents training or procedure improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0017,Intent Formation: node 06 - Confirm the event through a second independent screening cue,N0002,Recovery,triangular,,triangular,0.6188,0.8588,0.7388,,0.7388,,,,,,,,Financial,triangular,7,33,15,,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Confirm the event through a second independent screening cue. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0018,Intent Formation: node 07 - identity or itinerary discrepancy requiring routine clarification,N0002,Observation,lognormal,,lognormal,,,0.7316,,,0.1463,,,,0.396,0.7316,,Legal/Compliance,normal,,,17,3.1,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0019,Intent Formation: node 08 - Residual risk remains and is flagged for review,N0002,Phase,uniform,,uniform,0.5733,0.7733,0.6733,,,,,,,0.35,17,,Workforce,lognormal,,,19,4.8,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Residual risk remains and is flagged for review. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0020,Intent Formation: node 09 - generic anomaly associated with a prohibited item attempt,N0002,Decision,beta,,beta,,,0.6721,,,,,20.835,10.165,,,21,Passenger Experience,fixed,,,21,,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0021,Intent Formation: node 10 - Use layered screening controls and documented decision points,N0002,Control,fixed,0.6345,fixed,,,,,,,,,,,,0.6345,Security,uniform,18,35,26.5,4.9,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0022,Intent Formation: node 11 - item-category ambiguity requiring officer judgment,N0002,Observation,normal,,normal,,,0.6259,,25,0.0751,,,,,,,Operational,triangular,17,43,25,,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0023,Intent Formation: node 12 - workflow interruption that could create screening distraction,N0002,Detection,poisson,,poisson,,,2.4608,,,,2.4608,,,,,,Reputational,normal,,,27,4.9,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0024,Intent Formation: node 13 - Preserve chain-of-custody language at a generic level,N0002,Escalation,triangular,,triangular,0.6583,0.8983,0.7783,,0.7783,,,,,0.35,27,,Financial,lognormal,,,29,7.2,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Preserve chain-of-custody language at a generic level. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0025,Intent Formation: node 14 - Simulation branch produces operational delay only,N0002,Outcome,lognormal,,lognormal,,,0.7689,,,0.1538,,,,0.404,0.7689,5,Legal/Compliance,fixed,,,5,,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch produces operational delay only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0026,Intent Formation: node 15 - Use randomization as a defensive control in the simulation only,N0002,Recovery,uniform,,uniform,0.6735,0.8735,0.7735,,,,,,,,,,Workforce,uniform,2,19,10.5,4.9,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use randomization as a defensive control in the simulation only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0027,Intent Formation: node 16 - property image anomaly resolved only through approved process,N0002,Observation,beta,,beta,,,0.7502,,9,,,24.758,8.242,,,,Passenger Experience,triangular,1,27,9,,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0028,Intent Formation: node 17 - Checkpoint returns to baseline operating posture,N0002,Phase,fixed,0.7160,fixed,,,,,,,,,,,,0.7160,Security,normal,,,11,2.0,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Checkpoint returns to baseline operating posture. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0029,"Intent Formation: node 18 - behavioral cue logged only as supporting context, not as sole basis",N0002,Decision,normal,,normal,,,0.7165,,,0.0860,,,,0.35,11,,Operational,lognormal,,,13,3.2,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0030,Intent Formation: node 19 - Apply standard operating procedure without describing restricted methods,N0002,Control,poisson,,poisson,,,2.1284,,,,2.1284,,,,,15,Reputational,fixed,,,15,,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Apply standard operating procedure without describing restricted methods. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0031,Intent Formation: node 20 - inconsistent passenger explanation requiring additional screening,N0002,Observation,triangular,,triangular,0.5313,0.7713,0.6513,,0.6513,,,,,,,,Financial,uniform,12,29,20.5,4.9,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: inconsistent passenger explanation requiring additional screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0032,Intent Formation: node 21 - item-category ambiguity requiring officer judgment,N0002,Detection,lognormal,,lognormal,,,0.6733,,19,0.1347,,,,0.385,0.6733,,Legal/Compliance,triangular,11,37,19,,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0033,Intent Formation: node 22 - Request supervisory review when the indicator exceeds the test threshold,N0002,Escalation,uniform,,uniform,0.5499,0.7499,0.6499,,,,,,,,,,Workforce,normal,,,21,3.8,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Request supervisory review when the indicator exceeds the test threshold. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0034,Intent Formation: node 23 - Simulation branch terminates with interdiction,N0002,Outcome,beta,,beta,,,0.8120,,,,,27.608,6.392,0.35,21,,Passenger Experience,lognormal,,,23,5.8,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch terminates with interdiction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0035,Intent Formation: node 24 - Maintain passenger flow while resolving the event safely,N0002,Recovery,fixed,0.7848,fixed,,,,,,,,,,,,0.7848,Security,fixed,,,25,,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Maintain passenger flow while resolving the event safely. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0036,Intent Formation: node 25 - incomplete divestiture or preparation requiring re-screening,N0002,Observation,normal,,normal,,,0.8069,,,0.0968,,,,,,,Operational,uniform,22,39,30.5,4.9,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: incomplete divestiture or preparation requiring re-screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0037,Intent Formation: node 26 - Quality assurance review identifies control improvement,N0002,Phase,poisson,,poisson,,,2.2735,,29,,2.2735,,,,,,Reputational,triangular,21,47,29,,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Quality assurance review identifies control improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0038,Intent Formation: node 27 - identity or itinerary discrepancy requiring routine clarification,N0002,Decision,triangular,,triangular,0.6076,0.8476,0.7276,,0.7276,,,,,,,,Financial,normal,,,5,1.0,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0039,Intent Formation: node 28 - Close the loop with after-action documentation,N0002,Control,lognormal,,lognormal,,,0.7098,,,0.1420,,,,0.392,0.7098,,Legal/Compliance,lognormal,,,7,1.8,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Close the loop with after-action documentation. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0040,Intent Formation: node 29 - generic anomaly associated with a prohibited item attempt,N0002,Observation,uniform,,uniform,0.6294,0.8294,0.7294,,,,,,,,,9,Workforce,fixed,,,9,,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0041,Intent Formation: node 30 - inconsistent passenger explanation requiring additional screening,N0002,Detection,beta,,beta,,,0.6992,,,,,21.675,9.325,,,,Passenger Experience,uniform,6,23,14.5,4.9,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: inconsistent passenger explanation requiring additional screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0042,"Intent Formation: node 31 - Record observable behavior and maintain neutral, non-discriminatory criteria",N0002,Escalation,fixed,0.6914,fixed,,,,,13,,,,,,,0.6914,Security,triangular,5,31,13,,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Record observable behavior and maintain neutral, non-discriminatory criteria. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0043,Intent Formation: node 32 - Passenger re-screened and cleared after resolution,N0002,Outcome,normal,,normal,,,0.6695,,,0.0803,,,,,,,Operational,normal,,,15,2.7,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Passenger re-screened and cleared after resolution. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0044,Intent Formation: node 33 - Preserve chain-of-custody language at a generic level,N0002,Recovery,poisson,,poisson,,,1.9254,,,,1.9254,,,0.35,15,,Reputational,lognormal,,,17,4.2,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Preserve chain-of-custody language at a generic level. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0045,Intent Formation: node 34 - alarm requiring standard resolution before access is granted,N0002,Observation,triangular,,triangular,0.7237,0.9637,0.8437,,0.8437,,,,,,,19,Financial,fixed,,,19,,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: alarm requiring standard resolution before access is granted. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0046,Intent Formation: node 35 - Supervisor documents training or procedure improvement,N0002,Phase,lognormal,,lognormal,,,0.7959,,,0.1592,,,,0.409,0.7959,,Legal/Compliance,uniform,16,33,24.5,4.9,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Supervisor documents training or procedure improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0047,Intent Formation: node 36 - property image anomaly resolved only through approved process,N0002,Decision,uniform,,uniform,0.6866,0.8866,0.7866,,23,,,,,,,,Workforce,triangular,15,41,23,,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0048,Intent Formation: node 37 - Route to secondary resolution using approved checkpoint process,N0002,Control,beta,,beta,,,0.7825,,,,,25.822,7.178,,,,Passenger Experience,normal,,,25,4.5,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Route to secondary resolution using approved checkpoint process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0049,"Intent Formation: node 38 - behavioral cue logged only as supporting context, not as sole basis",N0002,Observation,fixed,0.7539,fixed,,,,,,,,,,0.35,25,0.7539,Security,lognormal,,,27,6.8,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0050,Intent Formation: node 39 - generic anomaly associated with a prohibited item attempt,N0002,Detection,normal,,normal,,,0.7481,,,0.0898,,,,,,29,Operational,fixed,,,29,,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0051,Intent Formation: node 40 - Use layered screening controls and documented decision points,N0002,Escalation,poisson,,poisson,,,2.1476,,,,2.1476,,,,,,Reputational,uniform,0,17,8.5,4.9,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0052,Intent Formation: node 41 - False alarm resolved with no prohibited item found,N0002,Outcome,triangular,,triangular,0.5842,0.8242,0.7042,,0.7042,,,,,,,,Financial,triangular,0,25,7,,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: False alarm resolved with no prohibited item found. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0053,Intent Formation: node 42 - Request supervisory review when the indicator exceeds the test threshold,N0002,Recovery,lognormal,,lognormal,,,0.6533,,,0.1307,,,,0.381,0.6533,,Legal/Compliance,normal,,,9,1.6,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Request supervisory review when the indicator exceeds the test threshold. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0054,Intent Formation: node 43 - high workload condition increasing need for supervisor oversight,N0002,Observation,uniform,,uniform,0.5444,0.7444,0.6444,,,,,,,0.35,9,,Workforce,lognormal,,,11,2.8,independent,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: high workload condition increasing need for supervisor oversight. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0055,Intent Formation: node 44 - Simulation branch produces operational delay only,N0002,Phase,beta,,beta,,,0.6295,,,,,18.884,11.116,,,13,Passenger Experience,fixed,,,13,,conditional,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch produces operational delay only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0056,Intent Formation: node 45 - incomplete divestiture or preparation requiring re-screening,N0002,Decision,fixed,0.7990,fixed,,,,,,,,,,,,0.7990,Security,uniform,10,27,18.5,4.9,requires_parent_success,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: incomplete divestiture or preparation requiring re-screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0057,Intent Formation: node 46 - Confirm the event through a second independent screening cue,N0002,Control,normal,,normal,,,0.7886,,17,0.0946,,,,,,,Operational,triangular,9,35,17,,blocks_if_detected,Intent Formation branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Confirm the event through a second independent screening cue. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0058,Intent Formation: node 47 - identity or itinerary discrepancy requiring routine clarification,N0002,Observation,poisson,,poisson,,,2.2922,,,,2.2922,,,,,,Reputational,normal,,,19,3.4,mitigates_parent,Intent Formation branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0059,"Intent Formation: node 48 - behavioral cue logged only as supporting context, not as sole basis",N0002,Detection,triangular,,triangular,0.6349,0.8749,0.7549,,0.7549,,,,,0.35,19,,Financial,lognormal,,,21,5.2,escalates_if_unresolved,Intent Formation branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P1-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
